"dimension","dim_type","cur_count","unique_count","null_count","zero_count","null_ratio","zero_ratio","cat_val","cat_ratio_bf_m0","cat_ratio_bf_m1","cat_ratio_bf_m2","cat_ratio_diff_bf_m1","cat_ratio_diff_bf_m2","mean_bf_m0","mean_bf_m1","mean_bf_m2","mean_ratio_diff_bf_m1","mean_ratio_diff_bf_m2","std_bf_m0","std_bf_m1","std_bf_m2","std_ratio_diff_bf_m1","std_ratio_diff_bf_m2","status_bf_m0","status_bf_m1","status_bf_m2","alarm_yn","dt"
"mbr_discount_amt_beauty_and_fashion","numerical","198","49","0","10","0.051","0.051",,,,,,,"33306.697","33981.662","27116.791","-0.02","0.186","20138.606","19873.245","22693.612","0.013","-0.127","success","success","success","N","2020-07"
"sml_pay_amt_bf_m0","numerical","19426080","167375","0","17423436","0.897","0.897",,,,,,,"6872.867","10065.051","10002.65","-0.464","-0.455","41518.235","52680.607","51233.536","-0.269","-0.234","success","success","success","N","2020-07"
"voc_rcv_cnt_travel","numerical","925812","136","0","827229","0.894","0.894",,,,,,,"0.217","0.263","0.271","-0.212","-0.249","1.992","2.595","2.784","-0.303","-0.398","success","success","success","N","2020-07"
"simpl_ref_cnsl_cnt_bf_m1","numerical","19490534","83","0","17681507","0.907","0.907",,,,,,,"0.171","0.167","0.174","0.023","-0.018","0.763","0.739","0.743","0.031","0.026","success","success","success","N","2020-07"
"fmly_chld_age1618_cnt","numerical","420705","3","0","0","0.0","0.0",,,,,,,"1.062","1.062","1.063","0.0","-0.001","0.243","0.243","0.244","0.0","-0.004","success","success","success","N","2020-07"
"voc_rcv_cnt_restaurant","numerical","6675849","211","0","5796075","0.868","0.868",,,,,,,"0.243","0.326","0.32","-0.342","-0.317","1.897","2.774","2.763","-0.462","-0.457","success","success","success","N","2020-07"
"twld_visit_cnt_bf_m2","numerical","6816454","2275","0","0","0.0","0.0",,,,,,,"35.446","35.027","26.359","0.012","0.256","108.558","108.665","75.062","-0.001","0.309","success","success","success","N","2020-07"
"mbr_discount_cnt_mobile_and_media","numerical","285423","97","0","0","0.0","0.0",,,,,,,"2.467","2.966","3.105","-0.202","-0.259","3.561","4.702","4.976","-0.32","-0.397","success","success","success","N","2020-07"
"app_use_traffic_public_tv","numerical","1949753","1513422","0","165335","0.085","0.085",,,,,,,"140.605","191.269","175.546","-0.36","-0.249","1097.359","1605.196","1577.755","-0.463","-0.438","success","success","success","N","2020-07"
"app_use_cnt_music","numerical","8764684","96","0","0","0.0","0.0",,,,,,,"6.82","9.944","10.851","-0.458","-0.591","6.918","11.403","11.799","-0.648","-0.706","success","success","success","N","2020-07"
"mbr_discount_amt_chocolate","numerical","46278","7","0","0","0.0","0.0",,,,,,,"6915.095","8697.861","7436.579","-0.258","-0.075","5209.905","23504.574","16548.157","-3.512","-2.176","success","success","success","Y","2020-07"
"app_use_traffic_video","numerical","16159456","14673208","0","38541","0.002","0.002",,,,,,,"3040.876","4812.992","4905.404","-0.583","-0.613","8853.031","14073.739","14547.265","-0.59","-0.643","success","success","success","N","2020-07"
"sms_snd_cnt_interior","numerical","493275","28","0","489534","0.992","0.992",,,,,,,"0.014","0.015","0.014","-0.071","0.0","0.284","0.276","0.257","0.028","0.095","success","success","success","N","2020-07"
"simpl_ref_cnsl_cnt_bf_m0","numerical","19426080","67","0","18337753","0.944","0.944",,,,,,,"0.098","0.171","0.167","-0.745","-0.704","0.557","0.763","0.739","-0.37","-0.327","success","success","success","N","2020-07"
"tw_visit_days_faq","numerical","102707","8","0","0","0.0","0.0",,,,,,,"1.052","1.072","1.078","-0.019","-0.025","0.255","0.313","0.323","-0.227","-0.267","success","success","success","N","2020-07"
"sml_pay_cnt_bf_m0","numerical","19426080","170","0","17408628","0.896","0.896",,,,,,,"0.326","0.551","0.545","-0.69","-0.672","1.697","2.614","2.774","-0.54","-0.635","success","success","success","N","2020-07"
"data_usage_in_gb_bf_m0","numerical","19426080","10911049","0","2711550","0.14","0.14",,,,,,,"7.763","11.587","11.49","-0.493","-0.48","17.785","25.55","25.26","-0.437","-0.42","success","success","success","N","2020-07"
"location_weekday_visit_city","numerical","17974777","18","0","17788","0.001","0.001",,,,,,,"2.404","2.827","2.772","-0.176","-0.153","1.751","2.045","2.025","-0.168","-0.156","success","success","success","N","2020-07"
"tethering_traffic_mb","numerical","17907126","3031600","0","14787891","0.826","0.826",,,,,,,"216.12","353.159","387.417","-0.634","-0.793","2502.0","3955.256","4338.539","-0.581","-0.734","success","success","success","N","2020-07"
"tw_visit_days_fee_t_essence","numerical","78735","13","0","0","0.0","0.0",,,,,,,"1.107","1.159","1.279","-0.047","-0.155","0.391","0.507","0.848","-0.297","-1.169","success","success","success","Y","2020-07"
"tw_visit_days_fee_0_large","numerical","32938","11","0","0","0.0","0.0",,,,,,,"1.123","1.177","1.186","-0.048","-0.056","0.441","0.573","0.621","-0.299","-0.408","success","success","success","N","2020-07"
"tw_visit_days_accessory","numerical","4428","7","0","0","0.0","0.0",,,,,,,"1.082","1.118","1.163","-0.033","-0.075","0.408","0.525","0.646","-0.287","-0.583","success","success","success","N","2020-07"
"app_use_traffic_kakaostory","numerical","4224928","3211704","0","42549","0.01","0.01",,,,,,,"40.194","62.245","64.942","-0.549","-0.616","466.085","708.503","711.292","-0.52","-0.526","success","success","success","N","2020-07"
"mbr_discount_cnt_insurance","numerical","956194","2","0","0","0.0","0.0",,,,,,,"1.0","1.916",,"-0.916",,"0.014","0.28",,"-19.0",,"success","success","fail","Y","2020-07"
"tw_visit_days_realtime_bill","numerical","471083","17","0","0","0.0","0.0",,,,,,,"1.516","1.788","1.786","-0.179","-0.178","1.434","2.167","2.187","-0.511","-0.525","success","success","success","N","2020-07"
"sms_snd_cnt_pet","numerical","322158","14","0","320504","0.995","0.995",,,,,,,"0.007","0.01","0.009","-0.429","-0.286","0.139","0.203","0.178","-0.46","-0.281","success","success","success","N","2020-07"
"rem_allot_cnt","numerical","28780954","49","0","0","0.0","0.0",,,,,,,"6.192","6.207","6.177","-0.002","0.002","9.198","9.221","9.148","-0.003","0.005","success","success","success","N","2020-07"
"tw_visit_days_usage_pattern","numerical","35415","9","0","0","0.0","0.0",,,,,,,"1.039","1.055","1.054","-0.015","-0.014","0.254","0.31","0.31","-0.22","-0.22","success","success","success","N","2020-07"
"location_weekend_visit_city","numerical","17974777","17","0","264177","0.015","0.015",,,,,,,"1.828","2.294","2.375","-0.255","-0.299","1.242","1.593","1.716","-0.283","-0.382","success","success","success","N","2020-07"
"mbr_discount_amt_food_and_beverage","numerical","122242","858","0","0","0.0","0.0",,,,,,,"1106.517","1251.251","1725.662","-0.131","-0.56","842.487","1109.385","1620.284","-0.317","-0.923","success","success","success","N","2020-07"
"tw_visit_days_fee_t_max","numerical","24965","12","0","0","0.0","0.0",,,,,,,"1.116","1.177","1.171","-0.055","-0.049","0.474","0.652","0.657","-0.376","-0.386","success","success","success","N","2020-07"
"mbr_discount_cnt_education","numerical","636","2","0","0","0.0","0.0",,,,,,,"1.024","1.028","1.024","-0.004","0.0","0.152","0.164","0.152","-0.079","0.0","success","success","success","N","2020-07"
"twld_fee_visit_cnt_bf_m1","numerical","1524498","276","0","0","0.0","0.0",,,,,,,"5.382","5.74","5.781","-0.067","-0.074","8.763","13.49","11.256","-0.539","-0.284","success","success","success","N","2020-07"
"othr_co_icall_call","numerical","19426080","1","0","19426080","1.0","1.0",,,,,,,"0.0","49.1","48.038","-4.909999999E9","-4.803799999E9","0.0","111.908","91.818","-1.1190799999E10","-9.181799999E9","success","success","success","Y","2020-07"
"app_use_traffic_shopping_coupon","numerical","7281147","3873668","0","31701","0.004","0.004",,,,,,,"9.541","15.686","14.361","-0.644","-0.505","52.678","88.256","79.989","-0.675","-0.518","success","success","success","N","2020-07"
"bf_m6_data_usage_ratio_avg","numerical","17795125","16374407","0","960140","0.054","0.054",,,,,,,"1.256","1.349","1.377","-0.074","-0.096","5.65","6.093","6.732","-0.078","-0.192","success","success","success","N","2020-07"
"app_use_cnt_etc_video","numerical","16134653","360","0","0","0.0","0.0",,,,,,,"64.712","110.306","112.43","-0.705","-0.737","42.273","73.59","77.094","-0.741","-0.824","success","success","success","N","2020-07"
"ref_data_usage_in_gb_bf_m1","numerical","19490534","241928","0","19040047","0.977","0.977",,,,,,,"0.074","0.073","0.065","0.014","0.122","0.732","0.746","0.709","-0.019","0.031","success","success","success","N","2020-07"
"tw_visit_days_info_discount","numerical","515334","17","0","0","0.0","0.0",,,,,,,"1.201","1.291","1.314","-0.075","-0.094","0.717","0.976","0.989","-0.361","-0.379","success","success","success","N","2020-07"
"twld_fee_visit_cnt_bf_m2","numerical","1713448","304","0","0","0.0","0.0",,,,,,,"5.74","5.781","5.424","-0.007","0.055","13.49","11.256","8.873","0.166","0.342","success","success","success","N","2020-07"
"t_agr_t_eqpal_scrb_mth_cnt","numerical","19426080","9","0","4884771","0.251","0.251",,,,,,,"18.131","18.152","18.215","-0.001","-0.005","10.794","10.781","10.746","0.001","0.004","success","success","success","N","2020-07"
"app_use_traffic_shopping","numerical","8222892","6079318","0","4898","0.001","0.001",,,,,,,"31.568","48.824","50.358","-0.547","-0.595","215.504","328.22","283.584","-0.523","-0.316","success","success","success","N","2020-07"
"mbr_discount_cnt_jeju","numerical","487","1","0","0","0.0","0.0",,,,,,,"1.0","1.007","1.011","-0.007","-0.011","0.0","0.095","0.148","-9499999.0","-1.4799999E7","success","success","success","Y","2020-07"
"voc_snd_cnt_pet","numerical","322158","86","0","118204","0.367","0.367",,,,,,,"1.371","1.701","1.713","-0.241","-0.249","2.347","3.073","3.12","-0.309","-0.329","success","success","success","N","2020-07"
"app_use_traffic_linkedin","numerical","95775","13963","0","1685","0.018","0.018",,,,,,,"0.014","0.017","0.02","-0.214","-0.429","0.2","0.164","0.353","0.18","-0.765","success","success","success","N","2020-07"
"voc_snd_cnt_sports","numerical","1810395","522","0","1003463","0.554","0.554",,,,,,,"1.323","1.744","1.787","-0.318","-0.351","10.666","17.495","15.842","-0.64","-0.485","success","success","success","N","2020-07"
"fmly_chld_age1925_cnt","numerical","928751","4","0","0","0.0","0.0",,,,,,,"1.21","1.21","1.211","0.0","-0.001","0.421","0.421","0.422","0.0","-0.002","success","success","success","N","2020-07"
"voc_rcv_avg_duration","numerical","17164642","5404","0","236839","0.014","0.014",,,,,,,"114.361","113.876","115.871","0.004","-0.013","169.439","164.265","175.84","0.031","-0.038","success","success","success","N","2020-07"
"app_use_traffic_game","numerical","7153366","5041359","0","59584","0.008","0.008",,,,,,,"111.477","177.358","183.155","-0.591","-0.643","615.945","992.04","1119.463","-0.611","-0.817","success","success","success","N","2020-07"
"mbr_discount_cnt_food_and_beverage","numerical","122242","17","0","0","0.0","0.0",,,,,,,"1.235","1.392","1.421","-0.127","-0.151","0.705","1.042","1.089","-0.478","-0.545","success","success","success","N","2020-07"
"avg_mbr_use_cnt","numerical","19947809","299","0","14909576","0.747","0.747",,,,,,,"0.45","0.515","0.51","-0.144","-0.133","1.341","1.541","1.576","-0.149","-0.175","success","success","success","N","2020-07"
"app_use_cnt_game","numerical","16242160","427","0","0","0.0","0.0",,,,,,,"35.503","59.354","56.705","-0.672","-0.597","26.915","45.126","40.315","-0.677","-0.498","success","success","success","N","2020-07"
"dcb_cnt_bf_m0","numerical","19426080","1","0","19426080","1.0","1.0",,,,,,,"0.0","0.047","0.048","-4699999.0","-4799999.0","0.0","0.234","0.234","-2.3399999E7","-2.3399999E7","success","success","success","Y","2020-07"
"app_use_traffic_simple_pay","numerical","4256603","829934","0","3262","0.001","0.001",,,,,,,"0.421","0.645","0.628","-0.532","-0.492","2.926","5.286","4.635","-0.807","-0.584","success","success","success","N","2020-07"
"app_use_traffic_healthcare","numerical","4967336","3088079","0","13118","0.003","0.003",,,,,,,"5.516","16.742","17.324","-2.035","-2.141","28.331","99.322","101.111","-2.506","-2.569","success","success","success","Y","2020-07"
"app_use_traffic_insta","numerical","8097545","6526545","0","12589","0.002","0.002",,,,,,,"701.76","1152.098","1196.229","-0.642","-0.705","1921.663","3288.875","3454.875","-0.711","-0.798","success","success","success","N","2020-07"
"tw_visit_days_fee_t_medium","numerical","4301","4","0","0","0.0","0.0",,,,,,,"1.041","1.07","1.074","-0.028","-0.032","0.21","0.288","0.299","-0.371","-0.424","success","success","success","N","2020-07"
"app_use_cnt_shopping","numerical","10254528","516","0","0","0.0","0.0",,,,,,,"17.211","26.97","27.148","-0.567","-0.577","23.858","39.061","39.251","-0.637","-0.645","success","success","success","N","2020-07"
"tw_visit_days_fee_senior_with_t","numerical","6067","11","0","0","0.0","0.0",,,,,,,"1.085","1.108","1.101","-0.021","-0.015","0.46","0.528","0.481","-0.148","-0.046","success","success","success","N","2020-07"
"voc_snd_cnt_wedding","numerical","49663","156","0","13644","0.275","0.275",,,,,,,"2.13","2.413","2.412","-0.133","-0.132","9.942","11.564","11.645","-0.163","-0.171","success","success","success","N","2020-07"
"voc_snd_prtn_cnt_bf_m0","numerical","17010775","2124","0","0","0.0","0.0",,,,,,,"26.575","37.791","37.72","-0.422","-0.419","35.164","53.867","50.687","-0.532","-0.441","success","success","success","N","2020-07"
"voc_snd_cnt_travel","numerical","925812","244","0","365904","0.395","0.395",,,,,,,"1.491","1.638","1.695","-0.099","-0.137","5.147","4.318","5.223","0.161","-0.015","success","success","success","N","2020-07"
"copn_left_cnt_bf1","numerical","19490534","21","0","5103136","0.262","0.262",,,,,,,"4.149","4.122","4.112","0.007","0.009","2.787","2.795","2.801","-0.003","-0.005","success","success","success","N","2020-07"
"tw_visit_days_vas_terminate","numerical","39158","14","0","0","0.0","0.0",,,,,,,"1.04","1.051","1.054","-0.011","-0.013","0.362","0.491","0.478","-0.356","-0.32","success","success","success","N","2020-07"
